cost:defaultUsageScenario;response time:defaultUsageScenario;POFOD:defaultUsageScenario;ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:server2:CPU;ContinuousProcessingRateDegreeImpl:Server3:CPU;AssembledComponentDegreeImpl:Assembly_BookingSystem;AllocationDegreeImpl:Allocation_Assembly_C1 <C1> <C1>;AllocationDegreeImpl:Allocation_Assembly_C2 <C2> <C2>;AllocationDegreeImpl:Allocation_Assembly_C3 <C3> <C3>;CapacityDegreeImpl:semaphore;Util of Server1 CPU;Util of server2 CPU;Util of Server3 CPU;Util of aName LAN;Candidate ID;
1078.5507366430065;7.47318;0.0011379769530796002;3.5;4.0;3.0;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.571429;0.5;0.58;0.027;0;
3894.058677438524;3.01071;0.0012349008384585636;3.741053853155279;7.431610127228444;3.6166494567884753;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.320765;0.503256;0.0;0.024;1;
3712.41272650689;3.12147;9.979639370749638E-4;3.972642669003411;7.3449273311255885;3.3635014432299792;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.437996;0.435675;0.0;0.015;2;
1042.515268851168;3.12147;0.0012651151905691549;2.121809368737704;2.663927622666109;2.2037014352415314;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.437996;0.435675;0.0;0.015;3;
Infinity;Infinity;Infinity;2.326871206091659;4.611598112318214;3.2965485676191237;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;4;
1873.4949933492758;3.70868;9.955617478698553E-4;6.021810721315697;4.188283497472396;3.210425218797604;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.531402;0.415445;0.0;0.015;5;
2023.2350048019998;6.13719;0.001032579127288491;6.930644346395137;6.45704530593275;3.1950984898307033;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.0;0.579212;0.625959;0.024;6;
1328.4780754425242;6.70277;0.0010374776359474147;3.5628772161836126;5.562741970768824;5.4835608027562674;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.561344;0.67233;0.0;0.024;7;
4634.025913362646;6.70277;0.0011429712254664715;3.504721196757437;7.737430123607556;1.6188773038582687;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.561344;0.67233;0.0;0.024;8;
4606.080286957275;6.70277;0.0011284006452882966;3.344160548222309;7.646239829633902;5.005185205779144;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.561344;0.67233;0.0;0.024;9;
Infinity;Infinity;Infinity;2.90752780392779;6.585913790732182;3.2659675831201818;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;10;
Infinity;Infinity;Infinity;3.8090237148551793;7.563604420011397;3.188140211102829;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;11;
2621.465149031344;4.08439;7.961872430083394E-4;4.572936642737809;6.820547706797587;4.0229422791556155;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.380499;0.586463;0.0;0.015;12;
Infinity;Infinity;Infinity;2.0242664252023266;4.645128241275113;3.4711187586929526;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;13;
1815.9533637329923;177.619;9.9894558294078E-4;6.036122184228484;2.9732946622309786;2.8860796767424093;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.331339;0.988802;0.0;0.015;14;
1105.7866402002392;177.619;0.0012434425906705515;3.792505793416738;6.198407807727648;3.465758333521561;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.331339;0.988802;0.0;0.015;15;
1066.1814369123824;29.3865;0.0010155034103441762;3.4693251960928393;5.84115669554331;2.360926354403734;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.92237;0.0;0.736999;0.015;16;
4655.3108883448185;29.3865;0.001031326332551985;4.946290459279588;7.727615899217555;3.5392585001797854;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.92237;0.0;0.736999;0.015;17;
1434.5248546820283;29.3865;0.0012316662228939457;2.94294830839472;3.7024302463915304;5.345039637477075;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.92237;0.0;0.736999;0.015;18;
1258.383253307373;20.7064;7.98330184056173E-4;4.406392811370683;5.2257040151337;2.1686785049160946;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.907772;0.332969;0.0;0.015;19;
2058.433938638653;20.7064;8.085675655410407E-4;2.508999053120407;6.499816804254805;1.7003852613121406;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.907772;0.332969;0.0;0.015;20;
4709.800107199343;20.7064;0.0010088207243531544;5.280659275865302;7.753177026331028;1.6237884450914957;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.907772;0.332969;0.0;0.015;21;
1584.238634075626;66.4249;7.966013724649557E-4;5.945860544687376;3.8543936572622433;2.431063920730156;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.336368;0.970321;0.0;0.015;22;
901.810929264059;66.4249;0.001047481591921473;3.993775758123838;7.3639922843673595;2.592328978446086;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.336368;0.970321;0.0;0.015;23;
1871.4553885558093;1386.5;8.13575566899094E-4;6.328869258163999;4.107220508130648;1.7425161866283316;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.632024;0.0;0.998556;0.015;24;
705.5950219723748;1386.5;3.912807118717776E-4;3.3172418268767716;2.488418008872738;3.043760961627757;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.632024;0.0;0.998556;0.015;25;
1027.8212596713938;1386.5;5.835410190240253E-4;6.936096799905032;4.560447782659908;4.078862943274663;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.632024;0.0;0.998556;0.015;26;
Infinity;Infinity;Infinity;6.109172774732569;5.26773358606941;1.783914629999355;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;27;
1293.094341586694;9.53546;0.0011418847861521808;2.2881987426732024;4.951964947586124;4.23827441566711;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.760423;0.40388;0.47189;0.027;28;
1026.9715422622173;9.53546;7.957250602806942E-4;6.437034486960043;3.475686405079303;4.710726990139303;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.760423;0.40388;0.47189;0.027;29;
1258.6614545357797;6.0863;0.0010005660083923784;4.87406977996743;3.292983816899695;2.1154975228641453;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.656536;0.528396;0.0;0.015;30;
1855.1544534819704;6.0863;9.947164206126624E-4;5.776744849088437;4.987651122586431;3.9932002875621064;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.656536;0.528396;0.0;0.015;31;
4533.855110917977;6.0863;7.920138943202648E-4;3.743655489535976;7.7423488849681945;3.974440570945252;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.656536;0.528396;0.0;0.015;32;
1523.2994899825867;4.25542;9.965841699082212E-4;5.407587788252096;4.342573187086591;5.598174558548635;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.591761;0.400684;0.0;0.015;33;
1390.3712286069942;4.25542;9.994263547091764E-4;5.445499884917972;2.321103494372716;5.320845116014021;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.591761;0.400684;0.0;0.015;34;
1551.0763245408389;5.57898;0.0011291057499823731;3.8529595216643746;5.616684212143261;3.614935058714771;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.519081;0.309791;0.55326;0.027;35;
2285.1806206471447;5.57898;0.0011310259882160167;6.494755248439937;2.1801991121778324;4.259221682358138;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.519081;0.309791;0.55326;0.027;36;
918.4347894149313;5.57898;5.961150517075353E-4;3.455712582425286;5.189182549670858;4.697938566137007;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.519081;0.309791;0.55326;0.027;37;
1792.5270303460284;5.22932;0.0013280069463846855;5.710621131562659;3.167176589804568;3.9228562366034017;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.304695;0.631477;0.3059;0.027;38;
2063.681969639378;5.22932;0.0013317688671693473;2.721056044935514;5.996743847050161;4.5851063217706765;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.304695;0.631477;0.3059;0.027;39;
1944.2025368061331;6.5682;7.961002857415078E-4;5.979822098196485;2.563278227928219;5.397537465219978;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.290979;0.0;0.741079;0.015;40;
4776.444341691095;6.5682;9.885578308957976E-4;6.486270764393782;7.611701009197514;5.574173876970423;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.290979;0.0;0.741079;0.015;41;
962.6055437662133;20.8975;7.97821728495518E-4;5.583267391216452;3.0264329101909047;4.440209716761839;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.0;0.574934;0.900858;0.015;42;
2635.6194044975437;20.8975;0.0010083495099211248;3.697193374467223;6.786315215541595;1.6893218012157654;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.0;0.574934;0.900858;0.015;43;
1179.6163491273792;6.71108;0.0010012671783913296;4.040727758824926;4.182270972002671;1.6856918883576093;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.49496;0.702967;0.0;0.015;44;
3261.708775125401;6.71108;0.0011214774522987359;6.758203501745403;5.905069481283403;3.9467755407308385;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.49496;0.702967;0.0;0.015;45;
Infinity;Infinity;Infinity;5.884454137457109;5.7477446440564846;5.19138892748077;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;46;
Infinity;Infinity;Infinity;2.880754065423732;6.933294182027061;5.004422895435846;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;47;
4018.0115794685044;2.70854;9.916042059466834E-4;6.356801314930716;6.989207173786461;1.8042116182930357;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.503398;0.248955;0.0;0.015;48;
Infinity;Infinity;Infinity;2.330856857936431;6.930944634216174;2.32142763527413;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;49;
2348.3024695108847;4.05741;9.901810109483877E-4;4.661619174487852;6.3214085528019055;5.151878578368781;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.0;0.275255;0.621133;0.015;50;
1068.8108722181946;4.05741;5.83218139315167E-4;6.084753758944081;4.760859088992926;1.5681686688473033;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;0.0;0.275255;0.621133;0.015;51;
Infinity;Infinity;Infinity;4.669976727497193;3.033284933067216;2.6565141031108026;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);1;52;
3099.5381536436366;3.49199;9.947766725738605E-4;6.902434966727966;4.717364080988444;5.15435083572404;QuickBooking (ID: __VPcQOtlEd-m3_hR0FtH3Q);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);1;0.289753;0.0;0.570392;0.015;53;
1208.854302564188;3.49199;0.0011329399378613436;3.3467083462166585;4.486351889492902;4.244607497772334;BookingSystem (ID: _ZZH7IC6IEd-Jla2o7wkBzQ);server2 (ID: _h3wXgC6MEd-Jla2o7wkBzQ);Server3 (ID: _vxqJwS6QEd-pNfzbJsur0g);Server1 (ID: _g7HJEC6MEd-Jla2o7wkBzQ);1;0.289753;0.0;0.570392;0.015;54;
